174.217.12.167 - - [23/Dec/2018:01:16:20 +0000] "GET / HTTP/1.1" 302 - 0.0100
174.217.12.167 - - [23/Dec/2018:01:16:21 +0000] "GET /home HTTP/1.1" 302 - 0.0013
174.217.12.167 - - [23/Dec/2018:01:16:21 +0000] "GET /home HTTP/1.1" 302 - 0.0011
174.217.12.167 - - [23/Dec/2018:01:16:21 +0000] "GET /home HTTP/1.1" 302 - 0.0011
174.217.12.167 - - [23/Dec/2018:01:16:21 +0000] "GET /home HTTP/1.1" 302 - 0.0012
174.217.12.167 - - [23/Dec/2018:01:16:21 +0000] "GET /home HTTP/1.1" 302 - 0.0013
174.217.12.167 - - [23/Dec/2018:01:16:22 +0000] "GET /home HTTP/1.1" 302 - 0.0013
174.217.12.167 - - [23/Dec/2018:01:16:22 +0000] "GET /home HTTP/1.1" 302 - 0.0012
174.217.12.167 - - [23/Dec/2018:01:16:22 +0000] "GET /home HTTP/1.1" 302 - 0.0012
174.217.12.167 - - [23/Dec/2018:01:16:22 +0000] "GET /home HTTP/1.1" 302 - 0.0012
174.217.12.167 - - [23/Dec/2018:01:16:22 +0000] "GET /home HTTP/1.1" 302 - 0.0013
174.217.12.167 - - [23/Dec/2018:01:16:22 +0000] "GET /home HTTP/1.1" 302 - 0.0013
174.217.12.167 - - [23/Dec/2018:01:16:22 +0000] "GET /home HTTP/1.1" 302 - 0.0011
174.217.12.167 - - [23/Dec/2018:01:16:22 +0000] "GET /home HTTP/1.1" 302 - 0.0011
174.217.12.167 - - [23/Dec/2018:01:16:23 +0000] "GET /home HTTP/1.1" 302 - 0.0013
174.217.12.167 - - [23/Dec/2018:01:16:23 +0000] "GET /home HTTP/1.1" 302 - 0.0013
174.217.12.167 - - [23/Dec/2018:01:16:23 +0000] "GET /home HTTP/1.1" 302 - 0.0011
